dtreffre,numdep,nomdep,numregi,nomregi,aah_tx,beneficiaires,lieures,date
2025-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,16410,LA REUNION/LA REUNION,2025-10-01
2025-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6563,LA REUNION/LA REUNION,2025-10-01
2025-09,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6525,LA REUNION/LA REUNION,2025-09-01
2025-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,16358,LA REUNION/LA REUNION,2025-08-01
2025-05,974,LA REUNION,04,LA REUNION,AAH à taux plein,16310,LA REUNION/LA REUNION,2025-05-01
2025-05,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6438,LA REUNION/LA REUNION,2025-05-01
2025-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,16311,LA REUNION/LA REUNION,2025-04-01
2025-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6449,LA REUNION/LA REUNION,2025-04-01
2025-03,974,LA REUNION,04,LA REUNION,AAH à taux plein,16280,LA REUNION/LA REUNION,2025-03-01
2021-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5758,LA REUNION/LA REUNION,2021-01-01
2020-10,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5837,LA REUNION/LA REUNION,2020-10-01
2021-04,974,LA REUNION,04,LA REUNION,AAH à taux plein,15554,LA REUNION/LA REUNION,2021-04-01
2021-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5862,LA REUNION/LA REUNION,2021-03-01
2020-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,15291,LA REUNION/LA REUNION,2020-11-01
2020-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5848,LA REUNION/LA REUNION,2020-11-01
2021-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5985,LA REUNION/LA REUNION,2021-06-01
2021-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,15579,LA REUNION/LA REUNION,2021-11-01
2021-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6029,LA REUNION/LA REUNION,2021-11-01
2018-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5248,LA REUNION/LA REUNION,2018-07-01
2018-06,974,LA REUNION,04,LA REUNION,AAH à taux plein,14724,LA REUNION/LA REUNION,2018-06-01
2018-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5232,LA REUNION/LA REUNION,2018-06-01
2020-04,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5684,LA REUNION/LA REUNION,2020-04-01
2020-03,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5633,LA REUNION/LA REUNION,2020-03-01
2020-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,14964,LA REUNION/LA REUNION,2020-02-01
2020-02,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5585,LA REUNION/LA REUNION,2020-02-01
2019-07,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5476,LA REUNION/LA REUNION,2019-07-01
2019-06,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5461,LA REUNION/LA REUNION,2019-06-01
2018-08,974,LA REUNION,04,LA REUNION,AAH à taux plein,14729,LA REUNION/LA REUNION,2018-08-01
2019-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5400,LA REUNION/LA REUNION,2019-01-01
2018-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5458,LA REUNION/LA REUNION,2018-12-01
2018-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,14764,LA REUNION/LA REUNION,2018-11-01
2018-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5406,LA REUNION/LA REUNION,2018-11-01
2018-02,974,LA REUNION,04,LA REUNION,AAH à taux plein,14539,LA REUNION/LA REUNION,2018-02-01
2018-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,5026,LA REUNION/LA REUNION,2018-01-01
2019-12,974,LA REUNION,04,LA REUNION,AAH à taux plein,15067,LA REUNION/LA REUNION,2019-12-01
2019-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,15044,LA REUNION/LA REUNION,2019-11-01
2019-10,974,LA REUNION,04,LA REUNION,AAH à taux plein,15101,LA REUNION/LA REUNION,2019-10-01
2025-12,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6626,LA REUNION/LA REUNION,2025-12-01
2025-11,974,LA REUNION,04,LA REUNION,AAH à taux plein,16459,LA REUNION/LA REUNION,2025-11-01
2025-01,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6300,LA REUNION/LA REUNION,2025-01-01
2024-11,974,LA REUNION,04,LA REUNION,AAH à taux partiel,6466,LA REUNION/LA REUNION,2024-11-01
2024-09,974,LA REUNION,04,LA REUNION,AAH à taux plein,16436,LA REUNION/LA REUNION,2024-09-01
