dtreffre,numdep,nomdep,numregi,nomregi,aah_complaah,aah_age_5,beneficiaires,lieures,date
2023-05,974,LA REUNION,04,LA REUNION,AAH sans complément,Moins de 20 ans,11,LA REUNION/LA REUNION,2023-05-01
2023-05,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1247,LA REUNION/LA REUNION,2023-05-01
2023-05,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1404,LA REUNION/LA REUNION,2023-05-01
2023-05,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 40 et 44 ans,1584,LA REUNION/LA REUNION,2023-05-01
2023-05,974,LA REUNION,04,LA REUNION,AAH sans complément,65 ans ou plus,1257,LA REUNION/LA REUNION,2023-05-01
2023-05,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,84,LA REUNION/LA REUNION,2023-05-01
2023-05,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 45 et 49 ans,341,LA REUNION/LA REUNION,2023-05-01
2023-04,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 40 et 44 ans,1577,LA REUNION/LA REUNION,2023-04-01
2023-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,698,LA REUNION/LA REUNION,2023-04-01
2023-04,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 45 et 49 ans,1862,LA REUNION/LA REUNION,2023-04-01
2023-04,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 50 et 54 ans,2382,LA REUNION/LA REUNION,2023-04-01
2023-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Age indéterminé,1,LA REUNION/LA REUNION,2023-04-01
2023-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,90,LA REUNION/LA REUNION,2023-04-01
2023-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,504,LA REUNION/LA REUNION,2023-04-01
2023-04,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,643,LA REUNION/LA REUNION,2023-04-01
2023-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Moins de 20 ans,10,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 30 et 34 ans,1460,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 40 et 44 ans,1561,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 55 et 59 ans,3272,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 20 et 24 ans,40,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,97,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 35 et 39 ans,201,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 40 et 44 ans,260,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 55 et 59 ans,699,LA REUNION/LA REUNION,2023-01-01
2023-01,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 60 et 64 ans,618,LA REUNION/LA REUNION,2023-01-01
2023-02,974,LA REUNION,04,LA REUNION,AAH sans complément,Moins de 20 ans,12,LA REUNION/LA REUNION,2023-02-01
2023-02,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 20 et 24 ans,1256,LA REUNION/LA REUNION,2023-02-01
2023-02,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 25 et 29 ans,1395,LA REUNION/LA REUNION,2023-02-01
2023-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 25 et 29 ans,93,LA REUNION/LA REUNION,2023-02-01
2023-02,974,LA REUNION,04,LA REUNION,AAH avec complément,Entre 50 et 54 ans,506,LA REUNION/LA REUNION,2023-02-01
2021-12,974,LA REUNION,04,LA REUNION,AAH sans complément,Entre 35 et 39 ans,1618,LA REUNION/LA REUNION,2021-12-01
