date,dtreffre,aah_tx_inca,beneficiaires
2026-02-01,2026-02,Taux d’incapacité supérieur ou égal à 80%,11427
2026-02-01,2026-02,Taux d’incapacité entre 50% et 79%,11478
2026-01-01,2026-01,Taux d’incapacité supérieur ou égal à 80%,11414
2025-08-01,2025-08,Taux d’incapacité supérieur ou égal à 80%,11615
2025-05-01,2025-05,Taux d’incapacité supérieur ou égal à 80%,11604
2025-01-01,2025-01,Taux d’incapacité entre 50% et 79%,11088
2025-01-01,2025-01,Taux d’incapacité supérieur ou égal à 80%,11468
2024-10-01,2024-10,Taux d’incapacité entre 50% et 79%,11031
2024-08-01,2024-08,Taux d’incapacité entre 50% et 79%,10959
2024-07-01,2024-07,Taux d’incapacité entre 50% et 79%,10932
2024-05-01,2024-05,Taux d’incapacité supérieur ou égal à 80%,11894
2023-12-01,2023-12,Taux d’incapacité entre 50% et 79%,10435
2023-08-01,2023-08,Taux d’incapacité entre 50% et 79%,10075
2023-07-01,2023-07,Taux d’incapacité supérieur ou égal à 80%,11837
2023-04-01,2023-04,Taux d’incapacité supérieur ou égal à 80%,11870
2023-03-01,2023-03,Taux d’incapacité supérieur ou égal à 80%,11748
2023-02-01,2023-02,Taux d’incapacité supérieur ou égal à 80%,11735
2023-01-01,2023-01,Taux d’incapacité supérieur ou égal à 80%,11736
2022-11-01,2022-11,Taux d’incapacité entre 50% et 79%,9756
2022-09-01,2022-09,Taux d’incapacité supérieur ou égal à 80%,11953
2022-07-01,2022-07,Taux d’incapacité entre 50% et 79%,9716
2022-06-01,2022-06,Taux d’incapacité entre 50% et 79%,9687
2022-03-01,2022-03,Taux d’incapacité entre 50% et 79%,9612
2022-02-01,2022-02,Taux d’incapacité entre 50% et 79%,9517
2022-01-01,2022-01,Taux d’incapacité supérieur ou égal à 80%,11811
2021-06-01,2021-06,Taux d’incapacité supérieur ou égal à 80%,12111
2021-02-01,2021-02,Taux d’incapacité entre 50% et 79%,9217
2020-12-01,2020-12,Taux d’incapacité entre 50% et 79%,9119
2020-12-01,2020-12,Taux d’incapacité supérieur ou égal à 80%,12082
2020-11-01,2020-11,Taux d’incapacité supérieur ou égal à 80%,12062
2020-10-01,2020-10,Taux d’incapacité supérieur ou égal à 80%,12071
2020-08-01,2020-08,Taux d’incapacité entre 50% et 79%,9073
2020-07-01,2020-07,Taux d’incapacité entre 50% et 79%,9052
2020-06-01,2020-06,Taux d’incapacité entre 50% et 79%,9040
2020-06-01,2020-06,Taux d’incapacité supérieur ou égal à 80%,11938
2020-03-01,2020-03,Taux d’incapacité supérieur ou égal à 80%,11777
2020-02-01,2020-02,Taux d’incapacité entre 50% et 79%,8789
2019-10-01,2019-10,Taux d’incapacité entre 50% et 79%,8819
2019-05-01,2019-05,Taux d’incapacité entre 50% et 79%,8670
2019-04-01,2019-04,Taux d’incapacité supérieur ou égal à 80%,11727
2019-03-01,2019-03,Taux d’incapacité entre 50% et 79%,8586
2019-01-01,2019-01,Taux d’incapacité entre 50% et 79%,8539
2018-05-01,2018-05,Taux d’incapacité entre 50% et 79%,8499
2017-06-01,2017-06,Taux d’incapacité entre 50% et 79%,8246
2017-04-01,2017-04,Taux d’incapacité supérieur ou égal à 80%,10727
2017-03-01,2017-03,Taux d’incapacité supérieur ou égal à 80%,10633
2016-12-01,2016-12,Taux d’incapacité supérieur ou égal à 80%,10546
2016-11-01,2016-11,Taux d’incapacité entre 50% et 79%,7980
2016-09-01,2016-09,Taux d’incapacité supérieur ou égal à 80%,10396
2016-08-01,2016-08,Taux d’incapacité supérieur ou égal à 80%,10324
