date,beneficiaires
2016-06,18099
2016-07,18178
2016-08,18232
2016-09,18305
2016-10,18357
2016-11,18465
2016-12,18559
2017-01,18533
2017-02,18646
2017-03,18760
2017-04,18902
2017-05,18985
2017-06,19103
2017-07,19138
2017-08,19275
2017-09,19359
2017-10,19453
2017-11,19528
2017-12,19604
2018-01,19525
2018-02,19587
2018-03,19694
2018-04,19817
2018-05,19887
2018-06,19937
2018-07,19945
2018-08,19957
2018-09,19989
2018-10,20040
2018-11,20151
2018-12,20222
2019-01,20154
2019-02,20194
2019-03,20251
2019-04,20354
2019-05,20434
2019-06,20428
2019-07,20426
2019-08,20511
2019-09,20589
2019-10,20634
2019-11,20794
2019-12,20838
2020-01,20504
2020-02,20517
2020-03,20587
2020-04,20733
2020-05,20850
2020-06,20978
2020-07,21001
2020-08,21066
2020-09,21080
2020-10,21120
2020-11,21116
2020-12,21201
2021-01,21169
2021-02,21242
2021-03,21371
2021-04,21445
2021-05,21507
2021-06,21559
2021-07,21569
2021-08,21571
2021-09,21581
2021-10,21585
2021-11,21601
2021-12,21588
2022-01,21308
2022-02,21330
2022-03,21447
2022-04,21573
2022-05,21610
2022-06,21611
2022-07,21663
2022-08,21711
2022-09,21718
2022-10,21706
2022-11,21698
2022-12,21728
2023-01,21516
2023-02,21522
2023-03,21613
2023-04,21779
2023-05,21806
2023-06,21878
2023-07,21866
2023-08,21916
2023-09,21979
2023-10,22181
2023-11,22256
2023-12,22381
2024-01,22221
2024-02,22304
2024-03,22448
2024-04,22750
2024-05,22796
2024-06,22806
2024-07,22796
2024-08,22819
2024-09,22872
2024-10,22853
2024-11,22863
2024-12,22911
2025-01,22556
2025-02,22654
2025-03,22671
2025-04,22755
2025-05,22744
2025-06,22792
2025-07,22764
2025-08,22857
2025-09,22932
2025-10,22965
2025-11,23030
2025-12,23081
2026-01,22873
2026-02,22905
