dtreffre,numdep,nomdep,numregi,nomregi,aah_tx_inca,beneficiaires,lieures,date
2026-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11427,LA REUNION/LA REUNION,2026-02-01
2026-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,11478,LA REUNION/LA REUNION,2026-02-01
2022-09,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11953,LA REUNION/LA REUNION,2022-09-01
2023-03,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11748,LA REUNION/LA REUNION,2023-03-01
2022-11,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9756,LA REUNION/LA REUNION,2022-11-01
2023-04,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11870,LA REUNION/LA REUNION,2023-04-01
2023-02,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11735,LA REUNION/LA REUNION,2023-02-01
2023-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11736,LA REUNION/LA REUNION,2023-01-01
2022-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9716,LA REUNION/LA REUNION,2022-07-01
2022-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,9687,LA REUNION/LA REUNION,2022-06-01
2023-12,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10435,LA REUNION/LA REUNION,2023-12-01
2023-08,974,LA REUNION,04,LA REUNION,Taux d’incapacité entre 50% et 79%,10075,LA REUNION/LA REUNION,2023-08-01
2023-07,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11837,LA REUNION/LA REUNION,2023-07-01
2021-06,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,12111,LA REUNION/LA REUNION,2021-06-01
2025-01,974,LA REUNION,04,LA REUNION,Taux d’incapacité supérieur ou égal à 80%,11468,LA REUNION/LA REUNION,2025-01-01
